,p,beta,lamb,acc_mean,acc_std,nmi_mean,nmi_std
0,3,1e-05,0.1,0.621,0.021641973107829147,0.009565185315437283,0.009565185315437283
1,3,1e-05,0.2,0.6297499999999998,0.02334389641855019,0.009262336726943345,0.009262336726943345
2,3,1e-05,0.3,0.6389999999999999,0.011302654555457314,0.008364209255594125,0.008364209255594125
3,3,1e-05,0.4,0.6421249999999998,0.014583273809402338,0.009925833596979865,0.009925833596979865
4,3,1e-05,0.5,0.6501250000000001,0.023445082106915302,0.005461122251241821,0.005461122251241821
5,3,1e-05,0.6,0.650625,0.025407614508253226,0.005556982677604219,0.005556982677604219
6,3,2e-05,0.1,0.62625,0.011871710070583769,0.00753136051331516,0.00753136051331516
7,3,2e-05,0.2,0.6396249999999999,0.015697830264084278,0.01019544530503361,0.01019544530503361
8,3,2e-05,0.3,0.641875,0.01963534759050625,0.012508713913220575,0.012508713913220575
9,3,2e-05,0.4,0.6472499999999999,0.017939133200910232,0.0060308543272284115,0.0060308543272284115
10,3,2e-05,0.5,0.649,0.02178588992903433,0.005541090016486478,0.005541090016486478
11,3,2e-05,0.6,0.6355000000000001,0.023672241127531624,0.004455915181049642,0.004455915181049642
12,3,3e-05,0.1,0.6287499999999999,0.01851519646128552,0.009951222696500232,0.009951222696500232
13,3,3e-05,0.2,0.6446250000000001,0.011892092961291546,0.00612462811673384,0.00612462811673384
14,3,3e-05,0.3,0.6459999999999999,0.011973930014828053,0.009626924042523147,0.009626924042523147
15,3,3e-05,0.4,0.64475,0.019524023663169427,0.006287340741342276,0.006287340741342276
16,3,3e-05,0.5,0.641125,0.0215127142638952,0.006858813365565847,0.006858813365565847
17,3,3e-05,0.6,0.6435,0.02754995462791182,0.005808303794549456,0.005808303794549456
18,3,4e-05,0.1,0.630625,0.00626872195905989,0.006600560530393695,0.006600560530393695
19,3,4e-05,0.2,0.646125,0.010291835356242353,0.006128049986195706,0.006128049986195706
20,3,4e-05,0.3,0.655875,0.011572461924759147,0.008910916778817774,0.008910916778817774
21,3,4e-05,0.4,0.6537499999999999,0.013772708520839318,0.0066385738230754915,0.0066385738230754915
22,3,4e-05,0.5,0.6307499999999999,0.018776647730625394,0.005631716754728035,0.005631716754728035
23,3,4e-05,0.6,0.632625,0.022782600268626056,0.00491797001062038,0.00491797001062038
24,3,5e-05,0.1,0.6322499999999999,0.007660776723022282,0.007775782468691842,0.007775782468691842
25,3,5e-05,0.2,0.6467500000000002,0.005006246098625191,0.007645105181648864,0.007645105181648864
26,3,5e-05,0.3,0.649125,0.010760895641162964,0.009486564096842452,0.009486564096842452
27,3,5e-05,0.4,0.63725,0.02087013416344035,0.00632350743255533,0.00632350743255533
28,3,5e-05,0.5,0.6298750000000001,0.008749107097298536,0.004280414596444573,0.004280414596444573
29,3,5e-05,0.6,0.64225,0.026266661379018084,0.006591872000080183,0.006591872000080183
30,3,6e-05,0.1,0.624125,0.014540353331332759,0.011890067182037478,0.011890067182037478
31,3,6e-05,0.2,0.645125,0.009793971359974478,0.012306665373553554,0.012306665373553554
32,3,6e-05,0.3,0.6475000000000002,0.012796483892069728,0.013753018195499471,0.013753018195499471
33,3,6e-05,0.4,0.6445000000000001,0.015803480629279106,0.008247193537065229,0.008247193537065229
34,3,6e-05,0.5,0.631125,0.0130018027596176,0.005322929502474314,0.005322929502474314
35,3,6e-05,0.6,0.6435000000000001,0.029180472922829746,0.008101135722406042,0.008101135722406042
36,3,8e-05,0.1,0.6178750000000001,0.021927080859065584,0.01673503301597154,0.01673503301597154
37,3,8e-05,0.2,0.642625,0.006445686542176867,0.005274310819570832,0.005274310819570832
38,3,8e-05,0.3,0.6468750000000001,0.006117342151621094,0.005394025071139607,0.005394025071139607
39,3,8e-05,0.4,0.639,0.013702189606044728,0.005218246057684847,0.005218246057684847
40,3,8e-05,0.5,0.63525,0.011855905701379373,0.0051469853725962505,0.0051469853725962505
41,3,8e-05,0.6,0.6311249999999999,0.010649970657236567,0.0040598069049625676,0.0040598069049625676
