,lamda,beta,p,acc_inG,nmi_inG,acc_inL,nmi_inL,acc_coI,nmi_coI,acc_sy_C,nmi_sy_C,acc_hyT,nmi_hyT
67,5,10,3,0.587878788,0.647021011,0.56969697,0.654129264,0.660606061,0.690459706,0.575757576,0.653668412,0.56969697,0.624835418
27,0.5,100,3,0.6,0.663776929,0.593939394,0.661930504,0.648484848,0.691556996,0.593939394,0.657303611,0.593939394,0.627019348
24,0.5,5,3,0.575757576,0.640934765,0.618181818,0.665672609,0.642424242,0.677375212,0.624242424,0.678670916,0.612121212,0.65820184
48,1,100,3,0.654545455,0.712026857,0.587878788,0.674249361,0.636363636,0.682164569,0.551515152,0.627718728,0.624242424,0.667308313
66,5,5,3,0.63030303,0.664377103,0.56969697,0.665503918,0.636363636,0.668794531,0.557575758,0.650138757,0.606060606,0.661860973
61,1,50,9,0.624242424,0.665016496,0.575757576,0.639694663,0.636363636,0.700836716,0.624242424,0.678037522,0.587878788,0.638411685
30,0.5,1,6,0.612121212,0.642695453,0.612121212,0.651978166,0.636363636,0.675764588,0.636363636,0.657059751,0.606060606,0.648449907
1,0.1,0.5,3,0.606060606,0.675773158,0.624242424,0.67078235,0.636363636,0.680326395,0.587878788,0.656645809,0.618181818,0.664196332
33,0.5,50,6,0.6,0.661319064,0.618181818,0.673079551,0.636363636,0.686070774,0.642424242,0.69412817,0.6,0.672910793
84,10,0.1,3,0.593939394,0.649273776,0.618181818,0.661400346,0.636363636,0.665281927,0.587878788,0.653247884,0.624242424,0.662944124
29,0.5,0.5,6,0.624242424,0.660024761,0.63030303,0.671849636,0.63030303,0.68307559,0.624242424,0.675803161,0.618181818,0.652948884
51,1,1,6,0.624242424,0.668081939,0.6,0.66420625,0.63030303,0.691880126,0.581818182,0.661503749,0.56969697,0.642526976
13,0.1,100,6,0.606060606,0.66518964,0.612121212,0.663640115,0.63030303,0.680441529,0.587878788,0.644776296,0.557575758,0.617649014
41,0.5,100,9,0.581818182,0.652164184,0.612121212,0.666687598,0.63030303,0.650166039,0.63030303,0.658955989,0.563636364,0.654375964
81,5,10,9,0.563636364,0.652254153,0.606060606,0.658344551,0.63030303,0.656893335,0.575757576,0.653051745,0.581818182,0.632704825
19,0.1,50,9,0.618181818,0.672000917,0.624242424,0.694862716,0.624242424,0.670512384,0.618181818,0.664618383,0.551515152,0.621992485
14,0.1,0.1,9,0.606060606,0.652353428,0.624242424,0.680698691,0.624242424,0.655160128,0.612121212,0.67915888,0.581818182,0.670962041
25,0.5,10,3,0.606060606,0.633282308,0.624242424,0.68362053,0.624242424,0.688554948,0.618181818,0.644477786,0.612121212,0.655890804
12,0.1,50,6,0.606060606,0.658733205,0.6,0.665423608,0.624242424,0.677085188,0.545454545,0.638771433,0.557575758,0.646860947
75,5,50,6,0.6,0.651723041,0.6,0.650194945,0.624242424,0.669652502,0.606060606,0.66069899,0.6,0.665514983
