,lamda,beta,p,acc_coI,nmi_coI
0,0.1,0.1,3,0.44869565217391305,0.6276692839796696
1,0.1,0.5,3,0.4121739130434783,0.6077156268574317
2,0.1,1.0,3,0.40869565217391307,0.609982891327789
3,0.1,5.0,3,0.43478260869565216,0.6112552381824106
4,0.1,10.0,3,0.4260869565217391,0.6276920568581192
5,0.1,50.0,3,0.4121739130434783,0.616183407025148
6,0.1,0.1,6,0.42782608695652175,0.632450274898421
7,0.1,0.5,6,0.44,0.6416570466636671
8,0.1,1.0,6,0.38782608695652177,0.6295682545079783
9,0.1,5.0,6,0.4295652173913043,0.6603586332702152
10,0.1,10.0,6,0.46956521739130436,0.6585342483934665
11,0.1,50.0,6,0.42434782608695654,0.6136207663792353
12,0.1,0.1,9,0.43478260869565216,0.6659685593550339
13,0.1,0.5,9,0.41043478260869565,0.6365802444181636
14,0.1,1.0,9,0.43130434782608695,0.634896437956471
15,0.1,5.0,9,0.4330434782608696,0.6476945925517371
16,0.1,10.0,9,0.4539130434782609,0.6655606844324174
17,0.1,50.0,9,0.43130434782608695,0.6739196311856783
18,0.5,0.1,3,0.44173913043478263,0.6668413561544668
19,0.5,0.5,3,0.44173913043478263,0.6475014192754085
20,0.5,1.0,3,0.47130434782608693,0.6906086502292361
21,0.5,5.0,3,0.4504347826086956,0.6840925606527948
22,0.5,10.0,3,0.4469565217391304,0.6593801214637816
23,0.5,50.0,3,0.45565217391304347,0.6390288279369846
24,0.5,0.1,6,0.4573913043478261,0.7059317531731574
25,0.5,0.5,6,0.4539130434782609,0.691905463949999
26,0.5,1.0,6,0.46956521739130436,0.7020929971564591
27,0.5,5.0,6,0.4504347826086956,0.6646180817771697
28,0.5,10.0,6,0.49217391304347824,0.7308049991029598
29,0.5,50.0,6,0.4643478260869565,0.7035503508197453
30,0.5,0.1,9,0.45565217391304347,0.7076483213461872
31,0.5,0.5,9,0.41391304347826086,0.6624492554611799
32,0.5,1.0,9,0.4469565217391304,0.6893717544034264
33,0.5,5.0,9,0.4678260869565217,0.6987970726416222
34,0.5,10.0,9,0.4469565217391304,0.6910143214195194
35,0.5,50.0,9,0.4678260869565217,0.6935317885522755
36,1.0,0.1,3,0.4834782608695652,0.6797978154722374
37,1.0,0.5,3,0.5113043478260869,0.7119005144337774
38,1.0,1.0,3,0.47130434782608693,0.6994484768801474
