,lamda,beta,p,acc_inG,nmi_inG
92,50,1,3,0.64173913,0.817016816
80,10,1,6,0.626086957,0.805067309
94,50,10,3,0.60173913,0.785594998
100,50,10,6,0.60173913,0.776356214
110,100,1,3,0.6,0.803448494
118,100,10,6,0.596521739,0.766535992
62,5,1,6,0.594782609,0.771093937
91,50,0.5,3,0.589565217,0.769611879
101,50,50,6,0.589565217,0.747609827
98,50,1,6,0.586086957,0.785820924
112,100,10,3,0.586086957,0.77334176
65,5,50,6,0.577391304,0.769081489
108,100,0.1,3,0.575652174,0.784788
60,5,0.1,6,0.573913043,0.773310523
73,10,0.5,3,0.572173913,0.784217333
61,5,0.5,6,0.570434783,0.771690433
56,5,1,3,0.568695652,0.773757462
99,50,5,6,0.565217391,0.757332189
93,50,5,3,0.56,0.771700689
119,100,50,6,0.56,0.726580182
57,5,5,3,0.55826087,0.776359688
76,10,10,3,0.556521739,0.759553827
114,100,0.1,6,0.556521739,0.787746559
111,100,5,3,0.554782609,0.788807318
81,10,5,6,0.551304348,0.756946775
36,1,0.1,3,0.549565217,0.72776762
64,5,10,6,0.546086957,0.757137061
90,50,0.1,3,0.544347826,0.781557502
116,100,1,6,0.544347826,0.768167716
109,100,0.5,3,0.542608696,0.740911476
95,50,50,3,0.540869565,0.735562473
113,100,50,3,0.539130435,0.754772078
117,100,5,6,0.539130435,0.773824193
123,100,5,9,0.539130435,0.730698446
75,10,5,3,0.537391304,0.742345568
42,1,0.1,6,0.530434783,0.73254152
83,10,50,6,0.530434783,0.735476452
54,5,0.1,3,0.528695652,0.749940178
79,10,0.5,6,0.525217391,0.753467011
46,1,10,6,0.523478261,0.739721655
44,1,1,6,0.52,0.736737462
55,5,0.5,3,0.52,0.744624141
78,10,0.1,6,0.51826087,0.759840427
85,10,0.5,9,0.51826087,0.737785274
96,50,0.1,6,0.514782609,0.762515395
115,100,0.5,6,0.513043478,0.764246168
70,5,10,9,0.511304348,0.731943143
59,5,50,3,0.506086957,0.735179561
43,1,0.5,6,0.504347826,0.720887322
63,5,5,6,0.504347826,0.734712397
45,1,5,6,0.500869565,0.706858505
71,5,50,9,0.500869565,0.723825083
72,10,0.1,3,0.500869565,0.726392641
28,0.5,10,6,0.499130435,0.70345148
82,10,10,6,0.499130435,0.744527207
102,50,0.1,9,0.499130435,0.706497771
58,5,10,3,0.495652174,0.736859331
97,50,0.5,6,0.495652174,0.763893454
88,10,10,9,0.493913043,0.726707564
105,50,5,9,0.493913043,0.705006181
121,100,0.5,9,0.493913043,0.707132343
48,1,0.1,9,0.492173913,0.700113108
104,50,1,9,0.492173913,0.718949634
107,50,50,9,0.492173913,0.718463879
106,50,10,9,0.488695652,0.702326054
41,1,50,3,0.485217391,0.676552432
50,1,1,9,0.485217391,0.689007947
122,100,1,9,0.485217391,0.7011699
74,10,1,3,0.483478261,0.769351424
40,1,10,3,0.48173913,0.684964108
23,0.5,50,3,0.48,0.700520987
29,0.5,50,6,0.48,0.691887767
34,0.5,10,9,0.48,0.687896311
120,100,0.1,9,0.48,0.709750483
24,0.5,0.1,6,0.47826087,0.720982288
27,0.5,5,6,0.476521739,0.709598364
84,10,0.1,9,0.476521739,0.682326303
69,5,5,9,0.474782609,0.709700175
35,0.5,50,9,0.471304348,0.663370386
67,5,0.5,9,0.471304348,0.691342727
103,50,0.5,9,0.469565217,0.699172428
124,100,10,9,0.469565217,0.697132973
51,1,5,9,0.467826087,0.677640059
87,10,5,9,0.467826087,0.709989003
17,0.1,50,9,0.462608696,0.657513096
37,1,0.5,3,0.462608696,0.676549454
89,10,50,9,0.462608696,0.686053044
22,0.5,10,3,0.460869565,0.666235625
49,1,0.5,9,0.460869565,0.698845419
7,0.1,0.5,6,0.459130435,0.670209386
68,5,1,9,0.459130435,0.702707287
25,0.5,0.5,6,0.457391304,0.68781258
52,1,10,9,0.455652174,0.685024479
77,10,50,3,0.453913043,0.680739449
30,0.5,0.1,9,0.452173913,0.676952489
66,5,0.1,9,0.448695652,0.700224679
15,0.1,5,9,0.446956522,0.648127003
33,0.5,5,9,0.446956522,0.689891009
20,0.5,1,3,0.445217391,0.6586951
31,0.5,0.5,9,0.445217391,0.673758897
32,0.5,1,9,0.445217391,0.690645682
86,10,1,9,0.445217391,0.669234489
38,1,1,3,0.443478261,0.688940745
47,1,50,6,0.443478261,0.696611981
125,100,50,9,0.44173913,0.672064519
11,0.1,50,6,0.44,0.646449191
14,0.1,1,9,0.44,0.634272944
26,0.5,1,6,0.43826087,0.671244424
9,0.1,5,6,0.433043478,0.645450329
18,0.5,0.1,3,0.433043478,0.651437384
19,0.5,0.5,3,0.429565217,0.654364005
39,1,5,3,0.429565217,0.656217042
16,0.1,10,9,0.422608696,0.637928809
3,0.1,5,3,0.417391304,0.598638034
1,0.1,0.5,3,0.412173913,0.623919714
0,0.1,0.1,3,0.410434783,0.621582033
53,1,50,9,0.410434783,0.685681739
2,0.1,1,3,0.406956522,0.626465792
21,0.5,5,3,0.405217391,0.628946712
10,0.1,10,6,0.403478261,0.604633516
13,0.1,0.5,9,0.40173913,0.636905577
8,0.1,1,6,0.394782609,0.610736953
5,0.1,50,3,0.393043478,0.606184991
6,0.1,0.1,6,0.393043478,0.627516647
12,0.1,0.1,9,0.387826087,0.639812046
4,0.1,10,3,0.382608696,0.599088314
