,lamda,beta,p,acc_hyT,nmi_hyT
0,0.1,0.1,3,0.3277777777777778,0.4421035731864703
1,0.1,0.5,3,0.2972222222222222,0.30483949863264
2,0.1,1.0,3,0.21388888888888888,0.23226052471346104
3,0.1,5.0,3,0.17777777777777778,0.17259017283105588
4,0.1,10.0,3,0.1527777777777778,0.16146908394500936
5,0.1,50.0,3,0.10277777777777777,0.10275033658924451
6,0.1,0.1,6,0.35,0.4565189550771107
7,0.1,0.5,6,0.32222222222222224,0.33819631011095325
8,0.1,1.0,6,0.25555555555555554,0.2616516884370294
9,0.1,5.0,6,0.19722222222222222,0.18356224737755386
10,0.1,10.0,6,0.18333333333333332,0.1726361486112532
11,0.1,50.0,6,0.10833333333333334,0.11388581940911371
12,0.1,0.1,9,0.36944444444444446,0.5017401170455792
13,0.1,0.5,9,0.2972222222222222,0.35845038760316905
14,0.1,1.0,9,0.24444444444444444,0.25139853505681115
15,0.1,5.0,9,0.19722222222222222,0.21415700435058205
16,0.1,10.0,9,0.15555555555555556,0.14100916231446187
17,0.1,50.0,9,0.1111111111111111,0.11595941880657414
18,0.5,0.1,3,0.3416666666666667,0.4700133238013451
19,0.5,0.5,3,0.2777777777777778,0.3469753845206391
20,0.5,1.0,3,0.25833333333333336,0.31675897368278433
21,0.5,5.0,3,0.21666666666666667,0.23051184384281193
22,0.5,10.0,3,0.15833333333333333,0.20551515881468035
23,0.5,50.0,3,0.10833333333333334,0.11274237781096105
24,0.5,0.1,6,0.43333333333333335,0.6050275572369521
25,0.5,0.5,6,0.37777777777777777,0.4723482477290982
26,0.5,1.0,6,0.33611111111111114,0.3731050563257777
27,0.5,5.0,6,0.22777777777777777,0.2626022608184314
28,0.5,10.0,6,0.20833333333333334,0.26889495370637007
29,0.5,50.0,6,0.12777777777777777,0.1625926372215509
30,0.5,0.1,9,0.4722222222222222,0.5880505722452662
31,0.5,0.5,9,0.4111111111111111,0.5174294004922482
32,0.5,1.0,9,0.3333333333333333,0.40243729959351493
33,0.5,5.0,9,0.28055555555555556,0.3415505535384636
34,0.5,10.0,9,0.21388888888888888,0.27094711599859067
35,0.5,50.0,9,0.15,0.1883350132151932
36,1.0,0.1,3,0.36944444444444446,0.5013388180977524
37,1.0,0.5,3,0.2861111111111111,0.37986180997792396
38,1.0,1.0,3,0.3277777777777778,0.3779233707679843
39,1.0,5.0,3,0.23333333333333334,0.2883803588495482
40,1.0,10.0,3,0.20277777777777778,0.24529945076900764
41,1.0,50.0,3,0.11944444444444445,0.14831841904474663
42,1.0,0.1,6,0.4638888888888889,0.6299887427660755
43,1.0,0.5,6,0.38055555555555554,0.49513447869015226
44,1.0,1.0,6,0.33611111111111114,0.41311747740603105
