,lamda,beta,p,acc_sy_C,nmi_sy_C
0,0.1,0.1,3,0.7605633802816901,0.8209937631570934
1,0.1,0.5,3,0.8309859154929577,0.8432081151346121
2,0.1,1.0,3,0.8028169014084507,0.826851392094202
3,0.1,5.0,3,0.9154929577464789,0.8977339991875898
4,0.1,10.0,3,0.7464788732394366,0.8286556970644703
5,0.1,50.0,3,0.7652582159624414,0.7942041206209712
6,0.1,0.1,6,0.8732394366197183,0.8612879275040015
7,0.1,0.5,6,0.8169014084507042,0.8404051302138484
8,0.1,1.0,6,0.9154929577464789,0.8942705844638316
9,0.1,5.0,6,0.8309859154929577,0.8483954311361153
10,0.1,10.0,6,0.9389671361502347,0.9212053603673567
11,0.1,50.0,6,0.8497652582159625,0.8932677931875399
12,0.1,0.1,9,0.8779342723004695,0.862357701678596
13,0.1,0.5,9,0.8403755868544601,0.8717682010130803
14,0.1,1.0,9,0.7230046948356808,0.7883363008800391
15,0.1,5.0,9,0.7652582159624414,0.8137165667031767
16,0.1,10.0,9,0.7981220657276995,0.8477280179944677
17,0.1,50.0,9,0.8732394366197183,0.8764536042004792
18,0.5,0.1,3,0.8028169014084507,0.8649642375176546
19,0.5,0.5,3,0.8309859154929577,0.8518327519562235
20,0.5,1.0,3,0.8403755868544601,0.8871631727423662
21,0.5,5.0,3,0.8403755868544601,0.8758489391131232
22,0.5,10.0,3,0.7981220657276995,0.8361030879072593
23,0.5,50.0,3,0.7652582159624414,0.7987670890574792
24,0.5,0.1,6,0.8028169014084507,0.8389807675397557
25,0.5,0.5,6,0.8873239436619719,0.8910023381828827
26,0.5,1.0,6,0.8075117370892019,0.8395783211679694
27,0.5,5.0,6,0.7887323943661971,0.7955905566377072
28,0.5,10.0,6,0.812206572769953,0.8577717962136214
29,0.5,50.0,6,0.863849765258216,0.9003502540949889
30,0.5,0.1,9,0.8450704225352113,0.8585759053685504
31,0.5,0.5,9,0.7183098591549296,0.8159210310599093
32,0.5,1.0,9,0.7793427230046949,0.8120119511123124
33,0.5,5.0,9,0.8450704225352113,0.8681029625967946
34,0.5,10.0,9,0.8403755868544601,0.8346121833763923
35,0.5,50.0,9,0.7746478873239436,0.8638820446804002
36,1.0,0.1,3,0.8826291079812206,0.8885192289813683
37,1.0,0.5,3,0.8967136150234741,0.8756754606626441
38,1.0,1.0,3,0.7793427230046949,0.8433359155640717
39,1.0,5.0,3,0.7511737089201878,0.824225953923874
40,1.0,10.0,3,0.8028169014084507,0.8565778066084391
41,1.0,50.0,3,0.7793427230046949,0.8287546938404929
42,1.0,0.1,6,0.7934272300469484,0.8551398145390728
43,1.0,0.5,6,0.8356807511737089,0.8920173850595247
44,1.0,1.0,6,0.7934272300469484,0.8411577745686537
45,1.0,5.0,6,0.8075117370892019,0.8791371860936906
46,1.0,10.0,6,0.92018779342723,0.8985542773171956
47,1.0,50.0,6,0.8075117370892019,0.840715218261619
48,1.0,0.1,9,0.8685446009389671,0.8578281907551971
49,1.0,0.5,9,0.8169014084507042,0.8740859277794719
50,1.0,1.0,9,0.7981220657276995,0.8620291107151322
51,1.0,5.0,9,0.755868544600939,0.8270568965364382
52,1.0,10.0,9,0.8967136150234741,0.8907655440143878
53,1.0,50.0,9,0.812206572769953,0.8365392218551959
54,5.0,0.1,3,0.7464788732394366,0.7756981368823809
55,5.0,0.5,3,0.7652582159624414,0.7857491336150498
56,5.0,1.0,3,0.8169014084507042,0.8667193558023558
57,5.0,5.0,3,0.7511737089201878,0.7753706870575773
58,5.0,10.0,3,0.8262910798122066,0.8520213886026187
59,5.0,50.0,3,0.7464788732394366,0.7838939251049755
60,5.0,0.1,6,0.812206572769953,0.8178342485529604
61,5.0,0.5,6,0.8075117370892019,0.8390044375625058
62,5.0,1.0,6,0.7464788732394366,0.8197652674842788
63,5.0,5.0,6,0.755868544600939,0.819400919873688
64,5.0,10.0,6,0.8309859154929577,0.8397816893654324
65,5.0,50.0,6,0.7652582159624414,0.8012974331995334
66,5.0,0.1,9,0.8075117370892019,0.8391349664803485
67,5.0,0.5,9,0.92018779342723,0.8936011951064305
68,5.0,1.0,9,0.8262910798122066,0.8620022393711497
69,5.0,5.0,9,0.8262910798122066,0.8015190168933264
70,5.0,10.0,9,0.6384976525821596,0.7766443196165995
71,5.0,50.0,9,0.863849765258216,0.8489216893953743
72,10.0,0.1,3,0.6056338028169014,0.7496328043117675
73,10.0,0.5,3,0.6854460093896714,0.7838286164703452
74,10.0,1.0,3,0.7136150234741784,0.767119406665544
75,10.0,5.0,3,0.6901408450704225,0.7824825654410745
76,10.0,10.0,3,0.8356807511737089,0.817789768617766
77,10.0,50.0,3,0.6901408450704225,0.7692318644039972
78,10.0,0.1,6,0.8215962441314554,0.8060587005252595
79,10.0,0.5,6,0.6807511737089202,0.7782453162562328
80,10.0,1.0,6,0.7464788732394366,0.7787920550735651
81,10.0,5.0,6,0.8215962441314554,0.8058017935340742
82,10.0,10.0,6,0.7370892018779343,0.7872205205447533
83,10.0,50.0,6,0.7605633802816901,0.7926233251774469
84,10.0,0.1,9,0.6619718309859155,0.7822397847564965
85,10.0,0.5,9,0.8215962441314554,0.8371293541596634
86,10.0,1.0,9,0.7323943661971831,0.7715389916258861
87,10.0,5.0,9,0.8356807511737089,0.8469766850185754
88,10.0,10.0,9,0.7699530516431925,0.7880397463828125
89,10.0,50.0,9,0.8028169014084507,0.8167970317667224
90,50.0,0.1,3,0.6338028169014085,0.59480499836943
91,50.0,0.5,3,0.5211267605633803,0.5202982631532129
92,50.0,1.0,3,0.4507042253521127,0.47906605507511313
93,50.0,5.0,3,0.41784037558685444,0.39525585944801495
94,50.0,10.0,3,0.5258215962441315,0.49331538851127
95,50.0,50.0,3,0.4788732394366197,0.48024705826599695
96,50.0,0.1,6,0.49765258215962443,0.4576387482672141
97,50.0,0.5,6,0.39906103286384975,0.4392406533730023
98,50.0,1.0,6,0.5352112676056338,0.5034385315080604
99,50.0,5.0,6,0.5305164319248826,0.5085524145043878
100,50.0,10.0,6,0.539906103286385,0.5686303426713353
